"gene_id","cluster","betweenness","degree_centrality"
"DDAH1","2",0,1
"DEPDC1","2",0,1
"DLGAP3","2",0,1
"DMTN","2",0,1
"DOK5","2",0,1
"DOK7","2",0,1
"DSC3","2",0,1
"DSCC1","2",0,1
"DTL","2",0,1
"DUSP23","2",0,1
"E2F2","2",0,1
"E2F8","2",0,1
"EGLN3","2",0,1
"EIF4EBP1","2",0,1
"ELMO3","2",0,1
"EPPK1","2",0,1
"EPS8L1","2",0,1
"ESCO2","2",0,1
"ESM1","2",0,1
"ESPL1","2",0,1
"ESRP1","2",0,1
"ESRP2","2",0,1
"ESRRG","2",0,1
"EVPL","2",0,1
"EXOSC4","2",0,1
"FAM181A","2",0,1
"FAM83D","2",0,1
"FCGR2B","2",0,1
"FKBP1C","2",0,1
"FOXP4","2",0,1
"FOXQ1","2",0,1
"FSBP","2",0,1
"FTH1","2",0,1
"FYB1","2",0,1
"GALNT5","2",0,1
"GDF15","2",0,1
"GIPC1","2",0,1
"GJB1","2",0,1
"GMIP","2",0,1
"GMNC","2",0,1
"GPR37","2",0,1
"GPRIN2","2",0,1
"GPSM3","2",0,1
"GRB7","2",0,1
"GTSE1","2",0,1
"GZMA","2",0,1
"H2AC11","2",0,1
"H4C3","2",0,1
"HAS2","2",0,1
"HMMR","2",0,1
"HOOK1","2",0,1
"HP","2",0,1
"HTR3A","2",0,1
"IFI27","2",0,1
"IFIT1","2",0,1
"IFIT2","2",0,1
"IL12RB1","2",0,1
"IL1RAP","2",0,1
"IL1RN","2",0,1
"IL23A","2",0,1
"IL2RA","2",0,1
"IL32","2",0,1
"ILDR1","2",0,1
"ILDR2","2",0,1
"IQGAP3","2",0,1
"ITGB6","2",0,1
"ITGB8","2",0,1
"JPH1","2",0,1
"KCNJ11","2",0,1
"KCNJ12","2",0,1
"KCTD1","2",0,1
"KLF5","2",0,1
"KLK8","2",0,1
"KNSTRN","2",0,1
"KSR2","2",0,1
"LAMB3","2",0,1
"LAMC2","2",0,1
"LAMTOR2","2",0,1
"LCN2","2",0,1
"LGALS9","2",0,1
"LINGO1","2",0,1
"LMTK3","2",0,1
"LPAR3","2",0,1
"LPAR5","2",0,1
"LRRC43","2",0,1
"LRRC46","2",0,1
"LYZ","2",0,1
"MAL2","2",0,1
"MAP4K1","2",0,1
"MAP7","2",0,1
"MELK","2",0,1
"MELTF","2",0,1
"MPPED2","2",0,1
"MSLN","2",0,1
"MUC4","2",0,1
"MX2","2",0,1
"MYB","2",0,1
"MYBL2","2",0,1
"MYH14","2",0,1
"NAA38","2",0,1
"NACC1","2",0,1
"NDUFA3","2",0,1
"NDUFB11","2",0,1
"NDUFB3","2",0,1
"NDUFB7","2",0,1
"NDUFS8","2",0,1
"NGEF","2",0,1
"NINJ2","2",0,1
"NKD2","2",0,1
"NKG7","2",0,1
"NMU","2",0,1
"NOL4L","2",0,1
"NOS1AP","2",0,1
"NOTUM","2",0,1
"NR2F6","2",0,1
"NUDT14","2",0,1
"NUF2","2",0,1
"OLR1","2",0,1
"OTUB2","2",0,1
"PAK6","2",0,1
"PARS2","2",0,1
"PCBD1","2",0,1
"PCDH19","2",0,1
"PCDH7","2",0,1
"PCLAF","2",0,1
"PIF1","2",0,1
"PITX1","2",0,1
"PLEKHH1","2",0,1
"POSTN","2",0,1
"PPARGC1B","2",0,1
"PPP1R16B","2",0,1
"PPP1R1B","2",0,1
"PRICKLE3","2",0,1
"PRKCQ","2",0,1
"PSMB3","2",0,1
"PSMB9","2",0,1
"PTPN3","2",0,1
"PTPRF","2",0,1
"PTPRJ","2",0,1
"RAB27B","2",0,1
"RAB6B","2",0,1
"RABIF","2",0,1
"RAD54B","2",0,1
"RAD54L","2",0,1
"RASAL1","2",0,1
"RASSF7","2",0,1
"RCOR2","2",0,1
"RFXANK","2",0,1
"RGCC","2",0,1
"RGS1","2",0,1
"RGS19","2",0,1
"RIMKLA","2",0,1
"RIPK3","2",0,1
"RORC","2",0,1
"RPL39L","2",0,1
"RRM2","2",0,1
"RTKN","2",0,1
"S100A2","2",0,1
"SALL4","2",0,1
"SCNN1A","2",0,1
"SECTM1","2",0,1
"SELPLG","2",0,1
"SEMA3F","2",0,1
"SGO1","2",0,1
"SH3RF2","2",0,1
"SHANK2","2",0,1
"SHCBP1","2",0,1
"SHISA9","2",0,1
"SHROOM3","2",0,1
"SIGLEC14","2",0,1
"SKAP1","2",0,1
"SLC34A2","2",0,1
"SLC35F2","2",0,1
"SLC44A4","2",0,1
"SLC5A1","2",0,1
"SLC7A7","2",0,1
"SLPI","2",0,1
"SMAD1","2",0,1
"SMKR1","2",0,1
"SPC24","2",0,1
"SPC25","2",0,1
"SPN","2",0,1
"STIL","2",0,1
"SYNGR3","2",0,1
"TACSTD2","2",0,1
"TES","2",0,1
"TFAP2A","2",0,1
"THEM6","2",0,1
"TM4SF1","2",0,1
"TMEM63C","2",0,1
"TNFRSF11B","2",0,1
"TNFRSF4","2",0,1
"TNFSF15","2",0,1
"TNNC1","2",0,1
"TREM1","2",0,1
"TRIB1","2",0,1
