"","external_gene_name","logFC"
"556","DMRTA1",-1.77605085474488
"557","PLAAT3",1.24323234764261
"558","LMNB2",1.01599691059303
"559","ACER2",-1.38539006733111
"560","PPFIA3",2.00753851502369
"561","HASPIN",1.43115393191164
"562","ANXA2R",1.75263501772067
"563","ANXA2R-OT1",1.61913626685378
"564","GRINA",1.22363479694522
"565","OPLAH",1.35926801303648
"566","EXOSC4",1.17879252735955
"567","AURKB",1.34826231232047
"568","CCDC89",-1.26759888371622
"569","CYC1",1.05057809859487
"570","VWA1",1.88148051253967
"571","HTR1D",2.71461914208342
"572","PIPOX",2.60699806939028
"573","CITED4",2.09029874491567
"574","SLC9A4",-1.97902949538962
"575","H2BC4",1.12067620338952
"576","SCRIB",1.18233448999027
"577","OXTR",1.9359517801219
"578","MUC16",4.62714999301996
"579","H2AC25",1.78654729103952
"580","FANCB",1.29708244936055
"581","LINC03040",2.66277307531466
"582","MEX3D",1.22947224280868
"583","PHLDA2",1.56714539332581
"584","CLDN7",1.35361439596454
"585","RTKN2",1.51168496339029
"586","IDH2",1.60787861863199
"587","FBXL6",1.08275633690225
"588","PLCXD1",-1.06714150676498
"589","KPNA2",1.24147268085607
"590","SNORC",1.83632196326998
"591","NEB",3.53093929170804
"592","CHST6",3.83595842587053
"593","MX2",-1.05018837722082
"594","ZNRF3",1.45298840025772
"595","H3C13",2.43898789196366
"596","UPP1",1.41973760456097
"597","TRAIP",1.04552321344671
"598","ZNF703",1.66853932441054
"599","IQGAP3",1.14919564948062
"600","H2AC21",1.6665138127752
"601","H1-5",1.5815431806684
"602","LRRC19",3.27940410109254
"603","PTP4A3",2.36091529657181
"604","CDCA2",1.86305593842361
"605","H2BC21",1.30748560347325
"606","H1-10",1.40221788600724
"607","JAG2",2.12978121238296
"608","H2BC13",1.72183355257125
"609","TNFAIP2",1.87158566908409
"610","GAS2L1",1.67495117449161
"611","TNFAIP8L1",1.00798078529888
"612","PRAME",2.80867169613496
"613","SLC52A2",1.02668560117474
"614","LEMD1",2.8263742113625
"615","KIF18B",1.92030194607751
"616","SAPCD2",2.55299006571646
"617","CYP4X1",3.26567333637603
"618","MIR22HG",-1.06740231885523
"619","KIF24",1.40565407686177
"620","ERCC6L",1.58230136394671
"621","ESPN",2.79483105240876
"622","GCNT1",-1.11463295056689
"623","BCAM",2.89021863730961
"624","FANCA",1.02588014155032
