"","node_1","node_2","score"
"914","ATP1B3","ATP1A1",0.987
"353","FZD7","TGM2",0.404
"523","FZD7","BAMBI",0.9
"910","ATP1B3","SLC1A5",0.424
"472","BUB1B","KIF2C",0.575
"263","ATP1B3","ABCA2",0.72
"1075","ATAD2","H4C1",0.9
"1186","ATAD2","H4C13",0.9
"846","BUB1B","BRCA1",0.72
"1114","ATAD2","H4C4",0.9
"116","BUB1B","BIRC5",0.592
"1471","BUB1B","RAD51",0.72
"77","BUB1B","CCNB2",0.72
"576","IL17RB","IL33",0.708
"173","BUB1B","SKA3",0.9
"85","BUB1B","MAD2L1",0.999
"508","BUB1B","CDCA8",0.576
"362","BUB1B","CENPF",0.972
"655","BUB1B","CDK1",0.979
"638","CCNB2","CDK1",0.999
"198","BUB1B","CDCA2",0.439
"372","BUB1B","NEK2",0.861
"1219","BUB1B","CCNA2",0.824
"235","BUB1B","KNL1",0.997
"145","BUB1B","CBX2",0.72
"488","BUB1B","CDC20",0.999
"100","BUB1B","PLK1",0.947
"240","BUB1B","CENPA",0.535
"513","CCNB2","CDCA8",0.602
"157","BUB1B","AURKB",0.953
"90","CCNB2","MELK",0.587
"1218","CCNB2","CCNA2",0.596
"241","CCNB2","CENPA",0.477
"166","CCNB2","AURKB",0.726
"120","CCNB2","BIRC5",0.698
"103","CCNB2","PLK1",0.542
"494","MAD2L1","CDC20",0.999
"348","CCNB2","RRM2",0.555
"861","CCNB2","CCNE2",0.723
"125","CCNB2","BUB1",0.831
"529","CCNB2","CKS2",0.693
"267","CCNB2","E2F1",0.427
"322","SPINDOC","H3C12",0.8
"222","SPINDOC","H3C13",0.8
"1331","SPINDOC","H3C11",0.8
"1158","SPINDOC","H3C1",0.8
"424","SPINDOC","H3C10",0.8
"300","MAD2L1","SGO2",0.456
"1214","MAD2L1","CCNA2",0.601
"375","MAD2L1","NEK2",0.861
"276","BUB1B","UBE2C",0.826
"128","BUB1B","BUB1",0.994
"598","BUB1B","PTTG1",0.423
"250","FGFR4","FGFR3",0.632
"734","MAD2L1","RACGAP1",0.445
"620","MAD2L1","KIF20A",0.615
"635","MAD2L1","CDK1",0.691
"440","MAD2L1","TTK",0.485
"282","MAD2L1","UBE2C",0.628
"121","MELK","BIRC5",0.436
"126","MAD2L1","BUB1",0.804
"255","MELK","FOXM1",0.705
"227","PLK1","ERCC6L",0.95
"344","ANPEP","DPP4",0.639
"295","PLK1","H2BC12",0.499
"337","PLK1","H3C12",0.52
"133","PLK1","H2AC8",0.499
"1142","PCLAF","UHRF1",0.487
"822","PCLAF","BRCA1",0.667
"123","PLK1","BUB1",0.728
"190","PLK1","SPAG5",0.649
"185","PLK1","H2BC4",0.499
"493","PLK1","CDC20",0.785
"622","PLK1","KIF20A",0.563
"365","PLK1","CENPF",0.812
"281","PLK1","UBE2C",0.57
"732","PLK1","RACGAP1",0.457
"534","PLK1","H2BC13",0.499
"997","PLK1","H2BC11",0.499
"602","PLK1","PRC1",0.63
"219","PLK1","H3C13",0.52
"178","PLK1","CDC25C",0.894
"782","PLK1","GTSE1",0.926
"1020","PLK1","H2BC17",0.499
"881","PLK1","H2AX",0.499
"1458","PLK1","RAD51",0.457
"412","PLK1","H2BC21",0.499
"634","PLK1","CDK1",0.428
"258","PLK1","FOXM1",0.944
"590","TPX2","HMMR",0.761
"1292","PLK1","H2BC3",0.499
"162","TPX2","AURKB",0.506
"171","PLK1","SKA3",0.793
"403","TPX2","MKI67",0.599
"346","PLK1","RRM2",0.522
"806","TPX2","BRCA1",0.699
"347","TPX2","RRM2",0.438
"224","MED1","H3C13",0.8
"810","PLK1","BRCA1",0.773
"759","PLK1","TOP2A",0.578
"480","PLK1","KIF2C",0.486
"1060","PLK1","H2BC14",0.499
"200","PLK1","H2AC14",0.499
"1383","PLK1","H2BC15",0.499
"383","MED1","NR5A2",0.499
"152","PLK1","CLSPN",0.457
"122","PLK1","BIRC5",0.406
"191","MED1","SPAG5",0.422
"1079","MED1","H4C1",0.8
"748","CDT1","CDC45",0.767
"1101","MED1","H4C4",0.8
"828","MED1","BRCA1",0.433
"573","MED1","FBXL19",0.584
"226","MED1","MRPL12",0.588
"1008","MED1","H2BC11",0.8
"448","CDT1","ORC1",0.938
"370","CDT1","DTL",0.659
"644","CDT1","CDK1",0.665
"1236","CDT1","CCNA2",0.655
"169","BUB1","AURKB",0.762
"528","CDT1","CKS2",0.671
"793","CDT1","MCM10",0.9
"986","CDT1","WDR18",0.436
"891","BIRC5","H2AX",0.457
"160","BIRC5","AURKB",0.998
"360","BIRC5","CENPF",0.55
"509","BIRC5","CDCA8",0.999
"641","BIRC5","CDK1",0.79
"468","BUB1","KIF2C",0.668
"1199","MED1","H4C13",0.8
"279","BIRC5","UBE2C",0.483
"127","BIRC5","BUB1",0.638
"769","BIRC5","TOP2A",0.507
"474","BIRC5","KIF2C",0.599
"442","BUB1","TTK",0.544
"368","BUB1","CENPF",0.657
"659","BUB1","CDK1",0.901
"232","BUB1","KNL1",0.996
"213","BIRC5","H3C13",0.475
"486","BUB1","CDC20",0.983
"963","BUB1","SPC24",0.725
"1213","BUB1","CCNA2",0.503
"260","BIRC5","FOXM1",0.51
"254","MUC17","PDZK1",0.476
"1170","H2AC8","H3C1",0.96
"1097","H2AC8","H4C4",0.977
"206","H2AC8","H1-10",0.852
"1309","H2AC8","H2BC3",0.971
"247","H2AC8","CENPA",0.984
"1410","H2AC8","PHF19",0.499
"1030","H2AC8","H2BC17",0.767
"850","H2AC8","BRCA1",0.809
"695","H2AC8","TONSL",0.457
"1187","H2AC8","H4C13",0.977
"1365","H2AC8","H2AC4",0.952
"419","H2AC8","H2BC21",0.992
"318","H2AC8","H2AC11",0.904
"1264","H2AC8","H2AC15",0.9
"893","H2AC8","H2AX",0.557
"1389","H2AC8","H2BC15",0.618
"1272","H2AC8","H2AC16",0.9
"1050","H2AC8","H2BC14",0.671
